Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
14894629,The Half Has Never Been Told: Slavery and the Making of American Capitalism,Edward E. Baptist,"Baptist, Edward E.",,"=""046500296X""","=""9780465002962""",0,4.46,Basic Books,Hardcover,498,2014,2013,,2024/02/20,to-read,to-read (#862),to-read,,,,0,0
40914164,The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""149267012X""","=""9781492670124""",0,3.83,Sourcebooks Landmark,Paperback,458,2019,2018,2023/01/26,2023/01/26,,,read,,,,1,0
83017,The Tartar Steppe,Dino Buzzati,"Buzzati, Dino",Stuart Hood,"=""1567923046""","=""9781567923049""",0,4.20,Verba Mundi,Paperback,198,2005,1940,,2023/06/04,to-read,to-read (#797),to-read,,,,0,0
194853332,Somewhat Small,Trev Cimenski,"Cimenski, Trev",,"=""""","=""9798395028181""",0,4.29,Independently published,Paperback,115,2023,,,2024/01/01,to-read,to-read (#861),to-read,,,,0,0
500901,How to Be an Adult in Relationships: The Five Keys to Mindful Loving,David Richo,"Richo, David",Kathlyn Hendricks,"=""1570628122""","=""9781570628122""",0,4.17,Shambhala,Paperback,265,2002,2002,,2024/01/01,to-read,to-read (#860),to-read,,,,0,0
57283110,"Gaslighting & Narcissistic Abuse Recovery: Recover from Emotional Abuse, Recognize Narcissists & Manipulators and Break Free Once and for All",Don Barlow,"Barlow, Don",,"=""""","=""""",0,4.33,,Kindle Edition,178,2021,,,2024/01/01,to-read,to-read (#859),to-read,,,,0,0
1319,The War of Art: Winning the Inner Creative Battle,Steven Pressfield,"Pressfield, Steven",,"=""0446691437""","=""9780446691437""",0,3.99,Warner Books,Paperback,168,2003,2002,,2019/12/23,currently-reading,currently-reading (#4),currently-reading,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",0,4.18,Knopf,Hardcover,401,2022,2022,,2023/01/27,currently-reading,currently-reading (#3),currently-reading,,,,1,0
15798078,Decisive: How to Make Better Choices in Life and Work,Chip Heath,"Heath, Chip",Dan Heath,"=""0307956393""","=""9780307956392""",0,3.96,Crown Currency,Hardcover,336,2013,2013,,2023/12/15,currently-reading,currently-reading (#2),currently-reading,,,,1,0
57109107,The Lincoln Highway,Amor Towles,"Towles, Amor",,"=""0735222355""","=""9780735222359""",0,4.23,Viking,Hardcover,576,2021,2021,,2021/11/25,,,read,,,,1,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",0,4.26,IT Revolution Press,Hardcover,345,2013,2013,,2022/12/01,,,read,,,,1,0
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,"=""1591841666""","=""9781591841661""",0,3.80,Portfolio,Hardcover,80,2007,2007,,2023/12/15,,,read,,,,1,0
9443405,The Pale King,David Foster Wallace,"Wallace, David Foster",,"=""0316074233""","=""9780316074230""",0,3.97,"Little, Brown & Company",Hardcover,548,2011,2011,,2023/07/09,to-read,to-read (#858),to-read,,,,0,0
22711736,Istanbul: A Tale of Three Cities,Bettany Hughes,"Hughes, Bettany",,"=""0297868489""","=""9780297868484""",0,4.11,Weidenfeld & Nicolson,Hardcover,800,2017,2016,,2023/11/21,to-read,to-read (#857),to-read,,,,0,0
66863,Only the Paranoid Survive: How to Exploit the Crisis Points that Challenge Every Company and Career,Andrew S. Grove,"Grove, Andrew S.",,"=""1861975139""","=""9781861975133""",0,3.97,Profile Business,Paperback,224,1998,1996,,2023/11/13,to-read,to-read (#856),to-read,,,,0,0
19168428,Web of Debt: The Shocking Truth About Our Money System and How We Can Break Free,Ellen Hodgson Brown,"Brown, Ellen Hodgson",,"=""0983330816""","=""""",0,4.15,Third Millennium Press,Kindle Edition,547,2011,2007,,2023/11/05,to-read,to-read (#855),to-read,,,,0,0
361459,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,"Jamison, Kay Redfield",,"=""0679763309""","=""9780679763307""",0,4.06,Vintage,Paperback,223,1996,1995,,2021/01/27,,,read,,,,1,0
39027389,Babel: Around the World in Twenty Languages,Gaston Dorren,"Dorren, Gaston",,"=""0802128793""","=""9780802128799""",0,3.80,Atlantic Monthly Press,Hardcover,361,2018,2018,2023/11/02,2023/08/15,,,read,,,,1,0
977399,On the Track of Unknown Animals,Professor Bernard Heuvelmans,"Heuvelmans, Professor Bernard",,"=""0710304986""","=""9780710304988""",0,4.28,Kegan Paul,Hardcover,676,1995,1955,,2023/10/27,to-read,to-read (#854),to-read,,,,0,0
944073,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575079797""","=""9780575079793""",0,4.21,Gollancz,Paperback,515,2007,2006,,2023/09/15,to-read,to-read (#853),to-read,,,,0,0
61054083,Skull Water,Heinz Insu Fenkl,"Fenkl, Heinz Insu",,"=""1954118198""","=""9781954118195""",4,3.53,Spiegel & Grau,Hardcover,384,2023,2023,2023/08/30,2023/08/15,,,read,,,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.17,Vintage,Paperback,559,1992,1992,2023/08/30,2023/07/09,,,read,,,,1,0
110672,The Only Investment Guide You'll Ever Need,Andrew Tobias,"Tobias, Andrew",,"=""0156029634""","=""9780156029636""",0,3.91,Mariner Books,Paperback,287,2005,1978,,2023/08/26,to-read,to-read (#852),to-read,,,,0,0
158674,Nervous Conditions,Tsitsi Dangarembga,"Dangarembga, Tsitsi",,"=""1580051340""","=""9781580051347""",0,4.04,Seal Press,Paperback,204,2004,1988,,2023/08/19,to-read,to-read (#851),to-read,,,,0,0
34427205,Win Bigly: Persuasion in a World Where Facts Don't Matter,Scott Adams,"Adams, Scott",,"=""0735219710""","=""9780735219717""",0,3.73,Portfolio,Hardcover,304,2017,2017,,2023/08/16,to-read,to-read (#850),to-read,,,,0,0
17859574,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,"Adams, Scott",,"=""1591846919""","=""9781591846918""",0,4.06,Penguin Portfolio,Hardcover,248,2013,2013,,2023/08/16,to-read,to-read (#849),to-read,,,,0,0
59900665,Anxiously Attached: Becoming More Secure in Life and Love,Jessica Baum,"Baum, Jessica",,"=""0593331060""","=""9780593331064""",0,4.16,TarcherPerigee,Hardcover,304,2022,,,2023/08/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
4136,Holidays on Ice,David Sedaris,"Sedaris, David",,"=""0316191299""","=""9780316191296""",0,3.89,Little Brown & Co (P),Paperback,176,1998,1997,2023/08/15,2023/08/15,,,read,,,,1,0
54440543,The Final Strife (The Ending Fire #1),Saara El-Arifi,"El-Arifi, Saara",,"=""""","=""""",0,4.24,Del Rey,Hardcover,640,2022,2022,,2023/08/11,to-read,to-read (#848),to-read,,,,0,0
62628927,"The Battle Drum (The Ending Fire, #2)",Saara El-Arifi,"El-Arifi, Saara",,"=""0593356977""","=""9780593356975""",0,4.37,Del Rey,Hardcover,560,2023,2023,,2023/08/11,to-read,to-read (#847),to-read,,,,0,0
2213117,The Blue Zones: Lessons for Living Longer From the People Who've Lived the Longest,Dan Buettner,"Buettner, Dan",,"=""1426202741""","=""9781426202742""",0,4.07,National Geographic,Hardcover,304,2008,2008,,2023/08/10,to-read,to-read (#846),to-read,,,,0,0
6025160,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,"Ahamed, Liaquat",,"=""159420182X""","=""9781594201820""",0,4.02,Penguin Press,Hardcover,564,2009,2009,,2023/08/06,to-read,to-read (#845),to-read,,,,0,0
7015635,Food Rules: An Eater's Manual,Michael Pollan,"Pollan, Michael",,"=""014311638X""","=""9780143116387""",0,3.99,Penguin Books,Paperback,152,2009,2008,,2023/08/04,to-read,to-read (#844),to-read,,,,0,0
59884079,"The 12th Planet (The Earth Chronicles, #1)",Zecharia Sitchin,"Sitchin, Zecharia",,"=""""","=""""",0,4.50,Harper,ebook,468,2007,1976,,2023/07/28,to-read,to-read (#843),to-read,,,,0,0
44436221,Interior Chinatown,Charles Yu,"Yu, Charles",,"=""""","=""""",0,3.97,Pantheon,Hardcover,288,2020,2020,,2023/07/25,to-read,to-read (#842),to-read,,,,0,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,4.01,Allen & Unwin,Paperback,288,2019,2013,,2023/07/23,to-read,to-read (#841),to-read,,,,0,0
146565183,The River of Lost Footsteps: A Personal History of Burma,Thant Myint-U,"Myint-U, Thant",,"=""""","=""""",0,0.0,,Paperback,0,2007,,,2023/07/23,to-read,to-read (#840),to-read,,,,0,0
20124221,Please Look After Mom,Shin Kyung-Sook,"Kyung-Sook, Shin",Chi-Young Kim,"=""""","=""""",0,3.89,Vintage,Kindle Edition,274,2011,2008,,2023/07/22,to-read,to-read (#839),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.58,Hogarth,Hardcover,188,2016,2007,,2023/07/22,to-read,to-read (#838),to-read,,,,0,0
30755092,F*ck Love: One Shrink's Sensible Advice for Finding a Lasting Relationship,Michael I. Bennett,"Bennett, Michael I.",Sarah    Bennett,"=""1501140574""","=""9781501140570""",0,3.14,Atria Books,ebook,288,2017,2017,2023/07/22,2023/07/22,,,read,,,,1,0
17383934,The Valley of Amazement,Amy Tan,"Tan, Amy",,"=""0062107313""","=""9780062107312""",5,3.68,Ecco,Hardcover,589,2013,2013,2023/07/22,2023/07/09,,,read,,,,1,0
60632288,Post colonial Love Poem,Natalie Díaz,"Díaz, Natalie",,"=""""","=""""",0,4.35,Graywolf,,105,2020,2020,,2023/07/14,to-read,to-read (#837),to-read,,,,0,0
